City,Latitude,Longitude,Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph)
Coffs Harbour,-30.3,153.13,75.78,73,90,11.41
Kawardha,22.02,81.25,78.73,29,3,3.62
La Tuque,47.43,-72.78,28.47,95,35,5.01
Zhuhai,22.28,113.57,64.87,88,40,16.11
Tselinnoye,53.08,85.67,23.4,91,0,3.53
Benxi,41.29,123.77,42.8,18,4,11.18
Lázaro Cárdenas,17.96,-102.2,82.56,61,0,7.25
Quang Ngai,15.12,108.8,77.61,82,22,6.15
Terrasini,38.15,13.08,52.68,87,40,5.82
Puerto del Rosario,28.5,-13.86,62.6,77,10,1.12
Ostrovnoy,68.05,39.51,21.34,94,100,19.08
Osakarovka,50.56,72.57,23.56,83,0,9.93
Pamanukan,-6.28,107.81,79.32,81,100,1.54
Ząbkowice Śląskie,50.59,16.81,23.88,85,3,1.12
Rio Grande,-32.03,-52.1,70.72,81,100,18.59
Shenjiamen,29.96,122.3,52.38,82,97,21.5
Kumul,42.8,93.45,41.83,39,0,13.71
Kargasok,59.06,80.86,29.39,95,100,11.7
Diu,20.71,70.98,73.9,61,0,11.9
Morgan City,29.7,-91.21,63.75,63,1,11.41
Broken Hill,-31.95,141.43,69.8,64,40,10.29
Bahía Blanca,-38.72,-62.27,61.12,88,99,13.42
Tazovsky,67.47,78.7,2.52,94,16,9.89
San Vicente,-26.62,-54.13,72.25,69,79,2.55
Klaksvík,62.23,-6.59,44.6,93,100,29.97
Pāvugada,14.1,77.27,70.75,39,2,6.08
Hofn,64.25,-15.21,38.08,73,43,12.75
Kenai,60.55,-151.26,31.17,93,1,8.05
Nosy Varika,-20.58,48.53,75.58,89,46,6.46
Gunnedah,-30.98,150.25,77.0,61,0,3.36
Mersing,2.43,103.84,73.4,100,20,6.93
Escanaba,45.75,-87.06,34.92,74,90,8.05
Miquelon,47.1,-56.38,36.88,97,82,15.35
Giaginskaya,44.86,40.07,42.19,83,8,1.88
Walvis Bay,-22.96,14.51,57.99,91,0,11.32
Dosso,13.05,3.19,88.27,14,18,5.73
Healdsburg,38.61,-122.87,61.29,55,90,8.05
Hurghada,27.26,33.81,73.4,35,5,6.93
Marawi,8.0,124.29,75.92,58,94,2.42
Zhangye,38.93,100.45,34.77,43,59,0.87
Tangwani,28.28,69.0,68.0,77,0,6.93
Ternate,0.8,127.4,82.62,79,95,5.26
Antofagasta,-23.65,-70.4,66.2,77,90,6.93
Smithers,54.78,-127.17,21.2,44,90,10.29
Māngrol,21.12,70.12,72.54,85,3,10.36
Broome,42.25,-75.83,41.83,86,90,3.36
Ust'-Kulom,61.69,53.69,18.86,95,98,4.85
Shrewsbury,52.71,-2.75,40.78,86,84,1.12
Mingguang,32.78,117.96,52.2,86,52,4.41
Uvalde,29.37,-99.77,74.08,26,1,8.05
Chissamba,-12.17,17.33,62.91,62,19,4.36
Rabo de Peixe,37.8,-25.58,55.4,62,20,13.87
Cairns,-16.92,145.77,81.9,66,75,11.41
Puerto Carreño,6.19,-67.49,89.6,49,40,4.7
Effium,6.63,8.06,81.36,77,100,6.38
Huilong,31.81,121.66,52.0,85,66,5.01
Ft. Pierce,27.45,-80.33,80.17,51,1,13.87
Road Town,18.42,-64.62,76.23,82,1,7.76
Laranja da Terra,-19.9,-41.06,72.28,81,22,3.0
Santa Maria,-29.68,-53.81,78.8,69,40,10.29
Lopburi,14.8,100.65,84.43,79,1,1.01
Koboko,3.41,30.96,68.38,54,71,0.83
Altay,47.87,88.12,28.38,48,0,9.24
Shimoda,34.67,138.95,53.85,100,75,20.8
Sunndalsøra,62.68,8.55,36.73,86,100,16.11
Jackson,42.42,-122.83,48.58,57,90,16.11
Balkhash,46.84,74.98,35.17,66,0,15.57
Hobyo,5.35,48.53,83.61,75,76,11.52
Sovetskiy,61.36,63.58,28.06,98,100,3.69
Sarangani,5.4,125.46,81.12,76,75,22.59
Yar-Sale,66.83,70.83,5.18,92,28,5.91
Haines Junction,60.75,-137.51,15.8,78,100,3.8
San Rafael,-34.62,-68.33,65.05,63,20,5.28
Naze,28.37,129.48,67.08,93,75,16.11
Barstow,34.9,-117.02,69.84,23,1,13.87
Vardø,70.37,31.11,27.95,92,100,19.1
Bath,51.38,-2.36,36.3,80,30,8.05
Anūpgarh,29.19,73.21,66.09,65,0,11.01
Buraidah,26.33,43.98,73.4,46,0,14.99
Chui,-33.7,-53.46,68.04,75,71,14.07
Coquimbo,-29.95,-71.34,59.0,93,60,4.7
Asău,46.43,26.4,26.31,63,19,3.36
Scarborough,54.28,-0.4,41.49,80,91,2.24
Presidencia Roque Sáenz Peña,-26.79,-60.44,77.32,80,100,5.97
Longyearbyen,78.22,15.64,-4.0,83,20,3.36
Talaya,61.38,152.75,12.09,80,70,5.3
Wanganui,-39.93,175.05,68.25,60,2,5.5
Sakaiminato,35.55,133.23,55.4,100,75,1.12
Krasnosel'kup,65.7,82.47,7.9,94,56,8.19
Fort Nelson,58.81,-122.7,15.8,47,20,2.24
Santa Cruz,30.42,-9.6,60.8,93,40,6.93
Villaviciosa,43.48,-5.44,45.18,87,40,6.93
Voznesen'ye,61.01,35.48,27.37,89,100,17.22
Mushie,-3.02,16.9,74.1,86,99,1.72
Sinnamary,5.38,-52.95,78.62,83,90,13.15
Olafsvik,64.89,-23.71,32.41,92,100,16.04
Khanpur,28.65,70.66,66.09,65,0,16.04
Shahumyan,39.94,44.57,46.4,75,41,2.24
Valdivia,-39.81,-73.25,53.44,81,0,8.88
Japura,-0.32,102.35,75.81,95,98,1.92
Anloga,5.79,0.9,82.4,83,20,8.05
Vrangel',42.73,133.08,43.25,68,100,9.48
Choix,26.71,-108.32,89.98,12,100,7.99
Xam Nua,20.42,104.04,65.64,64,23,2.73
Arona,28.1,-16.68,60.64,82,20,6.93
Tulagi,-9.1,160.15,83.59,74,83,2.68
Safonovo,55.15,33.22,26.47,77,42,8.34
Russell,32.35,-85.2,57.96,63,90,18.34
Mama,58.31,112.9,34.84,78,100,21.7
São João da Barra,-21.64,-41.05,76.91,82,15,8.43
Ixtapa,20.7,-105.2,77.88,74,20,11.41
Isangel,-19.55,169.27,86.0,79,75,16.26
Natal,-5.79,-35.21,77.0,100,40,2.24
Necochea,-38.55,-58.74,60.01,75,83,1.99
Kualakapuas,-3.01,114.39,78.91,84,80,2.08
São Cristóvão,-11.01,-37.21,82.4,74,20,8.05
Caucayá,-0.19,-74.78,71.96,93,100,1.77
Kachīry,53.07,76.1,27.95,91,0,8.37
Beloha,-25.17,45.05,69.84,88,25,10.74
Ruidoso,33.33,-105.67,58.87,15,1,8.05
Beringovskiy,63.05,179.32,32.23,93,88,18.84
Sindgi,16.92,76.23,81.27,24,38,5.82
Samarai,-10.62,150.67,79.99,82,100,7.87
Waddān,29.16,16.14,59.2,47,0,10.65
Jizan,17.33,42.67,80.6,83,27,3.87
Chimbote,-9.09,-78.58,74.14,76,40,7.45
Makakilo City,21.35,-158.09,76.05,69,40,12.75
Bontang,0.13,117.5,77.99,86,99,3.69
Plastun,44.76,136.29,43.25,62,99,8.12
Mbanza-Ngungu,-5.25,14.87,71.19,80,73,3.47
Dhidhdhoo,6.88,73.1,84.54,74,65,9.37
Faya,18.39,42.45,59.9,67,41,5.82
Seoul,37.57,126.98,52.84,34,75,3.36
Mehamn,71.04,27.85,27.23,91,100,18.45
Labuhan,-6.88,112.21,80.38,83,58,4.45
Tolaga Bay,-38.37,178.3,67.03,64,49,8.52
Kavaratti,10.57,72.64,82.9,75,0,13.15
Caravelas,-17.71,-39.25,78.35,87,47,7.9
Lethem,3.38,-59.8,84.9,56,96,7.99
Key West,24.56,-81.78,79.77,78,1,9.17
Kysyl-Syr,63.9,122.76,14.77,95,91,5.79
Vila Velha,-20.33,-40.29,78.39,88,75,3.36
Kaeo,-35.1,173.78,73.53,62,100,1.99
Kristianstad,56.03,14.15,38.86,86,89,13.87
Santa Cruz de la Sierra,-17.8,-63.17,78.8,88,69,5.82
Jesús María,-30.98,-64.09,69.82,88,75,2.24
Loukhi,66.08,33.04,24.58,97,100,7.99
Cockburn Town,21.46,-71.14,76.77,72,0,12.59
Ulaanbaatar,47.91,106.88,19.4,52,0,2.24
Rio Branco,-9.97,-67.81,77.0,100,40,2.24
Bambanglipuro,-7.95,110.28,78.33,81,93,2.46
Nevers,46.99,3.16,37.26,51,0,13.87
Yārāda,17.65,83.27,78.8,88,40,2.24
Kandrian,-6.22,149.55,85.3,68,57,8.9
Tepeapulco,19.78,-98.55,77.0,23,40,20.8
Tinglev,54.93,9.25,40.37,86,72,20.8
Mae Sot,16.72,98.57,73.4,94,40,0.92
Basco,20.45,121.97,80.62,77,27,5.03
Montgomery,39.15,-77.2,43.79,100,90,5.82
Hamilton,39.18,-84.53,43.21,65,90,10.29
Opuwo,-18.06,13.84,68.02,39,0,3.36
Koshurnikovo,54.17,93.3,22.78,93,14,2.59
Batemans Bay,-35.72,150.18,70.72,88,79,6.49
Alice Town,25.72,-79.3,79.0,79,63,20.29
Faanui,-16.48,-151.75,82.92,75,17,11.97
Chulym,55.1,80.96,21.07,90,12,6.85
Kokkola,63.84,23.13,34.86,69,90,9.17
Taboga,46.27,13.11,36.57,41,59,9.17
Mechetinskaya,46.77,40.46,41.85,66,2,6.71
Guerrero Negro,27.98,-114.06,73.51,30,100,11.99
Keti Bandar,24.14,67.45,74.14,90,1,15.05
Sīrjān,29.45,55.68,51.6,29,0,2.77
Champerico,14.3,-91.92,84.43,64,6,10.18
Sasolburg,-26.81,27.82,58.6,52,100,2.19
Dom Pedrito,-30.98,-54.67,71.13,78,39,14.97
Mehrān,33.12,46.16,50.0,71,90,6.93
Kandara,25.72,73.28,71.19,35,0,1.32
Karratha,-20.74,116.85,87.26,23,100,6.08
Aykhal,66.0,111.5,-2.2,77,99,11.18
Buba,11.58,-15.0,74.23,78,39,4.74
Mango,27.98,-82.31,78.3,78,90,9.17
Marzuq,14.4,46.47,73.17,51,77,4.18
Katobu,-4.94,122.53,76.57,92,91,10.67
Bathsheba,13.22,-59.52,82.4,58,20,13.87
Deputatsky,69.3,139.9,-1.21,83,3,1.43
Biltine,14.53,20.92,81.84,14,3,6.13
Belaya Gora,68.53,146.42,9.16,93,98,3.62
Charters Towers,-20.1,146.27,80.01,48,0,12.35
Caxito,-8.58,13.66,78.8,88,40,10.29
Nouakchott,18.09,-15.98,77.0,61,83,12.75
Inhambane,-23.86,35.38,73.42,71,1,6.78
Brae,60.4,-1.35,44.6,75,97,23.04
Avilés,43.55,-5.92,45.79,87,40,6.93
Tongliao,43.61,122.27,40.24,48,0,7.65
Gainesville,29.65,-82.32,69.17,93,90,6.93
Bandrele,-12.91,45.19,78.8,83,61,3.36
Menongue,-14.66,17.69,63.81,62,99,1.88
Assen,53.0,6.56,32.94,86,75,3.36
Lompoc,34.64,-120.46,69.31,49,78,19.46
Hanstholm,57.12,8.62,40.77,80,11,22.24
Alekseyevsk,57.84,108.35,35.83,76,100,15.9
Zhanakorgan,43.91,67.25,56.32,83,89,12.3
Nisibis,37.08,41.22,51.64,73,100,15.59
Agüimes,27.91,-15.45,65.66,77,40,5.82
La Rioja,42.25,-2.5,40.03,100,90,9.17
Port Hardy,50.7,-127.42,46.4,65,90,9.17
Vanimo,-2.67,141.3,82.69,73,100,4.09
Maumere,-8.62,122.21,83.61,66,63,2.77
Sirte,31.21,16.59,58.26,70,0,6.33
High Rock,26.62,-78.28,80.6,78,79,12.75
Jieshi,22.81,115.83,64.0,79,94,1.01
Douglas,41.3,-96.17,62.4,48,40,9.17
Gloversville,43.05,-74.34,38.23,100,1,3.36
Port-Gentil,-0.72,8.78,81.75,83,59,10.87
