City,Latitude,Temperature (F),Humidity %,Clouds %,Wind Speed (mph)
Bandar-e Anzali,37.47,55.81,73,22,3.06
Makkah al Mukarramah,21.43,77.2,39,0,1.81
Miyako,39.64,48.94,86,100,11.16
Dingle,11.0,77.07,83,94,7.11
Qian’an,44.99,32.36,68,0,7.4
Ivanava,52.15,29.71,90,1,6.76
Hobyo,5.35,84.45,73,90,12.24
Uniontown,39.9,44.92,70,90,13.87
Sunland Park,31.8,73.71,9,1,10.29
Provincia di Savona,44.3,40.48,62,40,18.34
Maxixe,-23.86,73.51,71,0,8.75
Hanko,59.83,35.4,81,100,5.01
Nkoteng,4.52,74.5,74,100,4.65
Segovia,41.17,44.1,83,98,11.74
Fort Frances,48.6,50.0,27,1,11.41
Suoyarvi,62.08,26.69,96,100,14.09
Alice Springs,-23.7,68.0,88,40,11.41
Cuiluan,47.72,29.75,84,0,5.44
Oranjestad,12.52,84.2,62,20,20.8
Yumen,40.28,32.72,46,40,16.22
Leticia,-4.22,86.92,70,40,4.7
Poronaysk,49.22,31.33,96,100,4.47
Muros,42.78,46.51,93,20,5.82
Teshie,5.58,82.4,88,20,11.41
Malakal,9.53,87.24,11,50,4.83
Sooke,48.37,46.27,70,75,11.41
Saucillo,28.02,79.38,9,92,4.9
Rabo de Peixe,37.8,53.6,62,20,9.17
Ostrovskoye,57.81,23.14,96,100,9.37
Suez,29.97,66.99,48,0,11.7
Nuevitas,21.55,85.32,52,15,3.27
Bam,29.11,66.69,23,0,9.33
Pemangkat,1.17,77.49,82,80,2.77
Montoro,38.02,54.73,76,20,8.05
Dornoch,57.88,43.5,81,95,10.29
Imeni Zhelyabova,58.95,25.45,79,100,4.68
Nanortalik,60.14,33.19,89,32,15.05
Moindou,-21.69,77.0,65,0,3.36
Sungai Penuh,-2.08,65.97,72,99,1.5
Kysyl-Syr,63.9,13.32,95,98,5.64
Ekhabi,53.51,18.95,96,0,5.57
Kanniyākumāri,8.08,83.16,57,47,10.07
Port Keats,-14.25,83.73,75,0,3.31
Kefamenanu,-9.45,70.36,80,99,2.37
Aberystwyth,52.42,38.59,81,10,5.01
Simao,22.79,61.84,26,0,2.04
Marrakesh,31.63,59.0,72,75,6.93
Altamira,-3.2,76.46,87,100,1.28
Sørland,67.67,33.8,74,75,20.8
Celestún,20.87,81.91,70,4,13.0
Carson City,39.16,50.0,33,40,12.75
Matagami,49.75,50.0,19,1,8.05
Great Falls,47.5,38.8,59,90,17.22
Belyy Yar,53.6,21.2,79,12,2.24
Sovetskiy,61.36,28.71,98,100,2.53
Lovozero,68.0,19.13,94,100,15.46
Forsytheganj,52.63,27.88,85,52,4.38
Kazachinskoye,57.7,35.78,90,100,8.77
Jacareacanga,-6.22,87.8,70,75,2.24
Zhigansk,66.77,8.37,95,100,6.31
Jiazi,22.88,68.14,83,83,5.73
Talnakh,69.49,10.4,92,75,20.13
Seville,37.38,54.72,87,20,8.05
Senj,44.99,39.02,41,0,8.01
Cockburn Town,21.46,77.14,68,0,9.75
Igarka,67.47,2.62,94,89,8.46
Ejido,8.55,74.55,47,84,0.78
Lata,40.16,41.04,87,20,4.7
Imbituba,-28.24,78.8,78,40,1.12
South Kazakhstan Region,43.0,59.16,71,100,10.18
Sindou,10.67,91.53,20,55,1.48
Mahāsamund,21.1,82.51,26,9,4.68
Jardim,-21.48,87.62,49,1,4.68
Brunehaut,50.52,37.22,69,0,11.41
Athabasca,54.72,10.13,87,100,11.25
Seoul,37.57,47.25,43,1,3.74
Porbandar,21.64,73.99,88,0,9.98
Agadez,19.75,84.25,13,10,2.51
Demmin,53.91,32.41,64,0,6.93
Mossamedes,-15.2,73.96,71,17,9.08
Skjold,55.8,40.96,93,75,16.11
Edd,13.93,82.78,75,69,4.63
Ballina,-28.87,68.25,94,40,6.93
Torres,-29.34,74.03,85,86,7.38
Øksfjord,70.24,23.95,73,98,25.28
Makarov,48.63,34.9,88,100,8.63
Khilok,51.37,25.12,72,70,4.72
Hammerfest,70.66,24.8,68,20,24.16
Digha,21.68,80.17,67,0,11.03
Saint-François,46.42,34.79,55,0,3.36
Saint Anthony,45.02,53.55,32,1,6.93
Sagamu,6.84,82.4,94,20,5.82
Avigliano,40.73,36.86,78,100,4.38
Yeppoon,-23.13,73.4,83,4,8.05
Eydhafushi,5.1,83.66,75,33,7.49
Meadville,41.64,42.4,70,90,6.76
Graham,47.05,47.37,75,1,9.17
Khovd,48.01,19.06,62,0,4.45
Sandwick,60.0,45.61,81,99,17.22
Trincomalee,8.57,75.52,76,79,4.85
Harper,4.38,82.18,84,61,7.49
Shujaabad,29.88,60.8,87,0,4.7
Tahoua,14.89,93.2,18,80,3.2
Vanavara,60.34,21.94,94,96,9.01
Puerto Madryn,-42.77,69.57,32,46,22.3
Sawākin,19.11,76.62,51,0,1.23
Diphu,25.83,68.97,32,0,0.69
Constitución,-35.33,64.17,57,23,18.68
Mawlaik,23.63,68.92,24,17,1.68
Casper,42.87,57.42,30,40,29.53
Shakawe,-18.37,71.92,57,100,2.01
Naryan-Mar,67.67,7.14,95,1,3.42
Le Mars,42.79,61.2,44,75,17.22
Flinders,-34.58,67.32,100,75,3.36
Santa Rosa,14.31,78.6,78,20,4.09
Ust'-Omchug,61.15,2.52,81,91,5.12
Beyneu,45.32,48.47,71,89,9.19
Selenginsk,52.01,26.6,58,11,2.24
Deputatsky,69.3,-10.3,82,4,1.9
Margate,51.38,39.0,86,0,3.36
Bulawayo,-20.15,66.52,36,73,6.2
Linqing,36.85,49.66,67,70,8.63
Diamantino,-14.41,83.79,67,37,4.29
Daru,-9.08,78.28,91,100,2.3
Ginda,30.69,48.54,40,65,1.81
Province of Mantua,45.17,40.93,65,26,3.36
La Rioja,42.25,39.56,100,90,3.36
Iquique,-20.22,71.6,64,15,20.8
Loreto,22.27,78.44,20,85,12.97
Ust-Nera,64.57,4.35,81,100,3.02
Saint-Paul,-21.01,71.37,83,19,5.82
Krasnokamensk,50.1,28.99,69,72,14.29
Murom,55.57,24.94,96,99,13.18
Manokwari,-0.87,79.83,75,100,2.82
Marabu,4.41,77.0,94,75,6.93
Tateyama,34.98,51.03,93,75,12.75
Pampa,35.54,68.07,39,1,10.29
Lubango,-14.92,61.16,53,27,0.72
Diffa,13.32,88.92,27,100,4.16
Eureka,40.8,51.31,81,90,11.41
Hamilton,39.18,45.18,65,90,6.93
Panjāb,34.39,25.95,36,92,3.6
Luancheng,37.88,46.4,93,90,11.18
Chernyshevskiy,63.01,-4.07,87,0,6.76
Bukama,-9.2,72.75,73,88,0.47
Jaguaribe,-5.89,79.61,80,68,2.91
Opuwo,-18.06,70.66,36,0,2.35
Tibiri,13.56,87.12,13,98,3.98
Visnes,59.36,42.73,87,100,11.41
Amaigbo,5.79,80.37,85,100,4.34
Coquimbo,-29.95,62.6,82,40,13.87
Ankazoabo,-22.28,69.94,66,0,5.86
Carutapera,-1.2,80.91,83,100,5.1
Havelock,34.88,57.4,58,90,19.46
Varhaug,58.61,41.52,87,75,13.87
Vila,42.03,46.38,87,40,1.12
Mastic Beach,40.77,44.71,72,40,8.05
Teya,60.38,26.83,95,99,2.37
Santa María del Oro,25.93,79.12,9,100,6.85
Oranjemund,-28.55,59.11,83,0,11.27
Preobrazheniye,42.9,39.06,85,96,6.73
Botou,38.07,51.35,42,100,14.2
Cruzeiro do Sul,-29.51,80.01,76,31,1.99
Leshukonskoye,64.9,15.12,94,19,4.47
Marquette,46.53,34.14,84,90,16.11
Wufeng,27.45,45.91,53,95,4.25
Tabou,4.42,81.39,85,47,7.02
Cobija,-11.03,88.02,55,63,2.04
Okha,53.57,19.54,96,1,5.46
Nuevo Progreso,23.17,83.59,71,84,8.99
High Rock,26.62,84.2,70,40,17.22
Neryungri,56.67,10.56,83,18,6.6
Birao,10.28,84.38,13,4,5.95
Eyl,7.98,82.2,78,45,11.97
Kholuy,56.58,24.22,96,100,11.72
Rosario,-32.95,79.99,69,20,14.99
Xushan,30.18,50.68,87,75,8.95
Miraflores,19.22,84.42,10,40,16.11
Gurupá,-1.41,78.44,93,99,0.43
